player_name,team_name,season,conference_name,position_raw,position_group,archetype,peer_group_size,avg_usage_difference,shooting_percentile,playmaking_percentile,rebounding_percentile,defense_percentile,efficiency_percentile,points_per_game,efg_pct,ts_pct,three_pt_pct,three_pa,three_point_attempt_rate,ft_rate,pprod,ast_pct,assist_rate,usg_pct,tov_pct,trb_pct,orb_pct,drb_pct,stl_pct,blk_pct,drtg,ortg,per,bpm,ws,minutes_per_game,games_played,points_per_game_percentile,efg_pct_percentile,ts_pct_percentile,three_pt_pct_percentile,three_pa_percentile,three_point_attempt_rate_percentile,ft_rate_percentile,pprod_percentile,ast_pct_percentile,assist_rate_percentile,usg_pct_percentile,tov_pct_percentile,trb_pct_percentile,orb_pct_percentile,drb_pct_percentile,stl_pct_percentile,blk_pct_percentile,drtg_percentile,ortg_percentile,per_percentile,bpm_percentile,ws_percentile,minutes_per_game_percentile,games_played_percentile,player_url,jersey_number,class,height,weight,hometown,high_school,games,minutes,field_goals_made,field_goals_attempted,field_goal_pct,three_points_made,three_points_attempted,three_point_pct,two_points_made,two_points_attempted,two_point_pct,effective_field_goal_pct,free_throws_made,free_throws_attempted,free_throw_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,fouls,points,offensive_rebounds_per_game,defensive_rebounds_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,fouls_per_game,pct_minutes,minutes_total,pct_possessions,pct_shots,or_pct,dr_pct,turnover_rate,block_pct,steal_pct,fouls_committed_per_40,fouls_drawn_per_40,ftm,fta,ft_pct,two_pm,two_pa,two_pt_pct,three_pm,ows,dws,ws_per_40,obpm,dbpm,games_started,position,source_team_url
Amari Jedkins,Montana,2026,Big Sky,F,Forward,,20,2.46,0.43125,0.3,0.383333,0.8,0.3,0.6130434782608696,0.519,0.528,0.333,5.5,0.444,0.185,30.0,1.4,1.4,13.0,6.4,12.3,6.4,17.0,2.7,3.4,100.9,110.4,11.8,-3.7,0.4,5.391304347826087,23.0,0.15,0.25,0.25,0.6,0.8,0.8,0.3,0.3,0.05,0.05,0.2,0.9,0.4,0.25,0.5,1.0,0.45,0.95,0.2,0.3,0.4,0.3,0.25,0.35,https://www.sports-reference.com/cbb/players/amari-jedkins-1.html,5,JR,6-7,195,"Racine, WI",Case (WI),23.0,124.0,5.5,12.3,0.444,1.8,5.5,0.333,3.6,6.8,0.533,0.519,1.4,2.3,0.6,2.7,9.1,11.8,0.5,2.7,1.8,0.9,8.2,14.1,0.117391304347826,0.3956521739130434,0.5130434782608696,0.0217391304347826,0.117391304347826,0.0782608695652174,0.0391304347826087,0.3565217391304348,0.0,124.0,0.0,0.444,0.0,0.0,6.4,3.4,2.7,2.6451612903225805,0.7419354838709677,1.4,2.3,0.6,3.6,6.8,0.533,1.8,0.1,0.3,0.113,-4.8,1.0,1.0,F,https://www.sports-reference.com/cbb/schools/montana/men/2026.html
Brooklyn Hicks,Montana,2026,Big Sky,G,Guard,,36,2.9,0.555556,0.409722,0.796296,0.662037,0.641204,0.7483870967741936,0.556,0.574,0.352,8.8,0.488,0.256,253.0,7.7,7.7,20.9,12.0,10.7,4.5,15.7,2.3,0.5,104.5,108.8,15.0,-0.4,1.9,21.741935483870968,31.0,0.111111,0.805556,0.75,0.527778,0.569444,0.555556,0.472222,0.652778,0.222222,0.222222,0.694444,0.5,0.861111,0.694444,0.833333,0.597222,0.472222,0.916667,0.416667,0.791667,0.666667,0.708333,0.472222,0.791667,https://www.sports-reference.com/cbb/players/brooklyn-hicks-1.html,3,JR,6-3,185,"Seattle, WA",Timberline (WA),31.0,674.0,8.5,18.0,0.47,3.1,8.8,0.352,5.4,9.2,0.582,0.556,3.2,4.6,0.691,1.9,8.4,10.3,2.3,2.3,0.3,2.8,4.2,23.2,0.0612903225806451,0.2709677419354839,0.332258064516129,0.0741935483870967,0.0741935483870967,0.0096774193548387,0.0903225806451612,0.1354838709677419,0.0,674.0,0.0,0.488,0.0,0.0,12.0,0.5,2.3,0.2492581602373887,0.2729970326409495,3.2,4.6,0.691,5.4,9.2,0.582,3.1,0.8,1.1,0.113,-0.3,-0.1,4.0,G,https://www.sports-reference.com/cbb/schools/montana/men/2026.html
Chase Henderson,Montana,2026,Big Sky,G,Guard,,38,2.818421,0.383224,0.5,0.109649,0.223684,0.070175,0.994736842105263,0.527,0.558,0.357,5.9,0.378,0.189,44.0,15.1,15.1,20.4,24.4,4.8,1.0,7.9,1.3,0.0,110.0,92.7,7.6,-6.0,0.1,7.052631578947368,19.0,0.263158,0.736842,0.671053,0.578947,0.223684,0.223684,0.315789,0.052632,0.631579,0.631579,0.710526,0.026316,0.078947,0.171053,0.078947,0.078947,0.065789,0.526316,0.052632,0.052632,0.078947,0.065789,0.078947,0.092105,https://www.sports-reference.com/cbb/players/chase-henderson-1.html,2,JR,6-0,165,"Des Moines, IA",Hoover (IA),19.0,134.0,7.2,15.6,0.459,2.1,5.9,0.357,5.0,9.7,0.522,0.527,2.5,2.9,0.857,0.4,4.2,4.6,4.6,1.3,0.0,5.5,5.5,18.9,0.0210526315789473,0.2210526315789474,0.2421052631578947,0.2421052631578947,0.0684210526315789,0.0,0.2894736842105263,0.2894736842105263,0.0,134.0,0.0,0.378,0.0,0.0,24.4,0.0,1.3,1.6417910447761197,0.8656716417910447,2.5,2.9,0.857,5.0,9.7,0.522,2.1,0.0,0.2,0.036,-4.7,-1.2,0.0,G,https://www.sports-reference.com/cbb/schools/montana/men/2026.html
Connor Dick,Montana,2026,Big Sky,G,Guard,,46,2.46087,0.334239,0.184783,0.811594,0.815217,0.309782,0.5720000000000001,0.452,0.538,0.235,4.0,0.405,0.69,67.0,5.6,5.6,15.1,20.1,10.2,7.8,12.0,2.4,3.1,103.8,103.5,10.1,-3.1,0.5,9.48,25.0,0.108696,0.282609,0.478261,0.152174,0.108696,0.315217,0.956522,0.271739,0.130435,0.130435,0.391304,0.086957,0.869565,0.956522,0.608696,0.576087,0.978261,0.891304,0.293478,0.369565,0.413043,0.282609,0.195652,0.304348,https://www.sports-reference.com/cbb/players/connor-dick-1.html,10,JR,6-3,194,"Missoula, MT",Hellgate (MT),25.0,237.0,4.0,10.0,0.405,1.0,4.0,0.235,3.1,5.9,0.52,0.452,5.2,6.9,0.759,3.3,6.4,9.8,1.9,2.4,1.7,3.3,8.3,14.3,0.132,0.256,0.392,0.076,0.096,0.068,0.132,0.332,0.0,237.0,0.0,0.405,0.0,0.0,20.1,3.1,2.4,1.40084388185654,1.1645569620253164,5.2,6.9,0.759,3.1,5.9,0.52,1.0,0.1,0.4,0.092,-4.8,1.7,0.0,G,https://www.sports-reference.com/cbb/schools/montana/men/2026.html
Courtney Anderson,Montana,2026,Big Sky,G,Guard,,36,2.861111,0.722222,0.243055,0.541667,0.462963,0.518519,2.82,0.714,0.726,0.467,14.8,0.857,0.257,47.0,3.4,3.4,20.8,15.1,7.2,7.0,7.4,1.0,1.9,110.0,122.9,18.4,6.5,0.4,11.4,10.0,0.25,1.0,1.0,1.0,1.0,1.0,0.472222,0.055556,0.0,0.0,0.694444,0.277778,0.597222,0.972222,0.055556,0.055556,0.805556,0.527778,0.861111,0.888889,1.0,0.180556,0.138889,0.041667,https://www.sports-reference.com/cbb/players/courtney-anderson-2.html,13,SO,6-5,182,"Vallejo, CA",Dublin (CA),10.0,114.0,8.9,17.3,0.514,6.9,14.8,0.467,2.0,2.5,0.8,0.714,3.5,4.5,0.778,3.0,4.0,6.9,1.0,1.0,1.0,3.5,2.0,28.2,0.3,0.4,0.6900000000000001,0.1,0.1,0.1,0.35,0.2,0.0,114.0,0.0,0.857,0.0,0.0,15.1,1.9,1.0,0.7017543859649122,1.5789473684210529,3.5,4.5,0.778,2.0,2.5,0.8,6.9,0.3,0.1,0.142,7.3,-0.7,0.0,G,https://www.sports-reference.com/cbb/schools/montana/men/2026.html
Grant Kepley,Montana,2026,Big Sky,G,Guard,,39,2.210256,0.307692,0.634615,0.547009,0.452991,0.269231,0.64,0.45,0.507,0.289,4.7,0.372,0.537,182.0,23.1,23.1,19.0,24.4,7.4,1.5,12.0,1.8,0.2,107.0,95.9,8.8,-4.2,0.8,21.72,25.0,0.102564,0.205128,0.230769,0.282051,0.051282,0.153846,0.948718,0.487179,0.897436,0.897436,0.717949,0.025641,0.641026,0.333333,0.666667,0.410256,0.179487,0.769231,0.153846,0.102564,0.179487,0.397436,0.538462,0.24359,https://www.sports-reference.com/cbb/players/grant-kepley-1.html,11,SO,6-4,180,"Bellingham, WA",Sehome (WA),25.0,543.0,5.0,12.6,0.397,1.4,4.7,0.289,3.6,7.9,0.461,0.45,4.7,6.8,0.692,0.6,6.4,7.1,7.6,1.8,0.1,5.1,6.2,16.0,0.024,0.256,0.284,0.304,0.072,0.004,0.204,0.248,0.0,543.0,0.0,0.372,0.0,0.0,24.4,0.2,1.8,0.4567219152854512,0.5009208103130756,4.7,6.8,0.692,3.6,7.9,0.461,1.4,0.0,0.8,0.058,-4.3,0.1,10.0,G,https://www.sports-reference.com/cbb/schools/montana/men/2026.html
Kadyn Betts,Montana,2026,Big Sky,F,Forward,,12,2.408333,0.677083,0.229166,0.347222,0.430556,0.076389,2.977777777777778,0.719,0.743,0.625,7.6,0.5,0.375,24.0,6.5,6.5,24.2,32.3,10.0,6.8,12.5,0.0,1.8,109.9,99.8,12.0,-8.9,0.1,6.555555555555555,9.0,0.333333,1.0,1.0,1.0,0.666667,0.75,0.583333,0.083333,0.208333,0.208333,0.5,0.0,0.291667,0.416667,0.333333,0.041667,0.75,0.5,0.083333,0.0,0.0,0.041667,0.166667,0.166667,https://www.sports-reference.com/cbb/players/kadyn-betts-1.html,7,JR,6-8,215,"Pueblo, CO",Pueblo Central (CO),9.0,59.0,8.6,15.3,0.563,4.8,7.6,0.625,3.8,7.6,0.5,0.719,4.8,5.7,0.833,2.9,6.7,9.6,1.9,0.0,1.0,8.6,6.7,26.8,0.3222222222222222,0.7444444444444445,1.0666666666666669,0.2111111111111111,0.0,0.1111111111111111,0.9555555555555556,0.7444444444444445,0.0,59.0,0.0,0.5,0.0,0.0,32.3,1.8,0.0,4.5423728813559325,3.864406779661017,4.8,5.7,0.833,3.8,7.6,0.5,4.8,0.0,0.1,0.065,-5.1,-3.8,0.0,F,https://www.sports-reference.com/cbb/schools/montana/men/2026.html
Kenyon Aguino,Montana,2026,Big Sky,F,Forward,,26,2.1,0.521634,0.774038,0.320513,0.557692,0.647436,0.6709677419354839,0.582,0.61,0.323,2.4,0.17,0.434,275.0,12.7,12.7,18.1,14.4,10.5,6.9,13.4,1.3,1.9,106.6,118.6,15.7,0.7,2.4,23.41935483870968,31.0,0.076923,0.692308,0.692308,0.461538,0.480769,0.461538,0.5,0.807692,1.0,1.0,0.634615,0.461538,0.307692,0.346154,0.307692,0.519231,0.384615,0.769231,0.576923,0.5,0.807692,0.769231,0.653846,0.576923,https://www.sports-reference.com/cbb/players/kenyon-aguino-1.html,24,FR,6-7,222,"Albuquerque, NM",Volcano Vista (NM),31.0,726.0,7.8,14.1,0.555,0.8,2.4,0.323,7.1,11.7,0.603,0.582,4.3,6.1,0.709,3.0,7.1,10.1,3.8,1.3,1.0,2.9,5.0,20.8,0.0967741935483871,0.2290322580645161,0.3258064516129032,0.1225806451612903,0.0419354838709677,0.032258064516129,0.0935483870967742,0.1612903225806451,0.0,726.0,0.0,0.17,0.0,0.0,14.4,1.9,1.3,0.2754820936639118,0.3360881542699724,4.3,6.1,0.709,7.1,11.7,0.603,0.8,1.4,1.1,0.135,0.0,0.7,31.0,F,https://www.sports-reference.com/cbb/schools/montana/men/2026.html
Money Williams,Montana,2026,Big Sky,G,Guard,,1,2.4,0.5,0.0,0.666667,0.666667,0.333333,1.1516129032258065,0.544,0.612,0.339,7.3,0.309,0.501,626.0,34.7,34.7,33.2,20.1,7.9,2.1,12.5,1.8,1.0,106.3,111.3,21.1,1.9,3.7,30.967741935483872,31.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,https://www.sports-reference.com/cbb/players/money-williams-1.html,0,JR,6-4,200,"Oakland, CA",Oakland (CA),31.0,960.0,11.6,23.6,0.491,2.5,7.3,0.339,9.1,16.3,0.56,0.544,10.1,11.8,0.856,0.9,6.7,7.6,9.1,1.8,0.5,7.3,5.3,35.7,0.0290322580645161,0.2161290322580645,0.2451612903225806,0.2935483870967741,0.0580645161290322,0.0161290322580645,0.2354838709677419,0.1709677419354838,0.0,960.0,0.0,0.309,0.0,0.0,20.1,1.0,1.8,0.2208333333333333,0.4916666666666666,10.1,11.8,0.856,9.1,16.3,0.56,2.5,2.2,1.5,0.154,2.2,-0.3,31.0,G,https://www.sports-reference.com/cbb/schools/montana/men/2026.html
Tejon Sawyer,Montana,2026,Big Sky,F,Forward,,24,2.483333,0.575521,0.520833,0.375,0.611111,0.520833,0.7548387096774193,0.643,0.651,0.358,5.4,0.327,0.198,311.0,8.5,8.5,19.7,16.6,11.7,4.1,17.8,1.1,1.8,105.4,112.3,15.6,-0.8,2.5,27.387096774193548,31.0,0.125,0.791667,0.770833,0.541667,0.625,0.666667,0.25,0.833333,0.541667,0.541667,0.75,0.25,0.395833,0.125,0.604167,0.416667,0.541667,0.875,0.208333,0.375,0.5,0.6875,0.791667,0.5625,https://www.sports-reference.com/cbb/players/tejon-sawyer-1.html,32,SR,6-8,252,"Richmond, CA",Salesian Prep,31.0,849.0,9.6,16.5,0.585,1.9,5.4,0.358,7.7,11.1,0.695,0.643,2.3,3.3,0.694,1.7,9.5,11.2,2.4,1.1,0.9,3.6,5.2,23.4,0.0548387096774193,0.3064516129032258,0.3612903225806451,0.0774193548387096,0.0354838709677419,0.0290322580645161,0.1161290322580645,0.1677419354838709,0.0,849.0,0.0,0.327,0.0,0.0,16.6,1.8,1.1,0.2449941107184923,0.1554770318021201,2.3,3.3,0.694,7.7,11.1,0.695,1.9,1.2,1.4,0.12,-1.1,0.2,30.0,F,https://www.sports-reference.com/cbb/schools/montana/men/2026.html
Trae Taylor,Montana,2026,Big Sky,F,Forward,,27,2.485185,0.462963,0.189815,0.432099,0.648148,0.391975,2.3,0.667,0.611,0.0,0.0,0.0,0.59,63.0,0.9,0.9,14.7,16.7,12.3,13.9,11.1,1.6,2.5,106.3,114.4,12.9,-3.2,0.6,8.1,26.0,0.407407,0.888889,0.62963,0.203704,0.185185,0.185185,0.833333,0.37037,0.037037,0.037037,0.351852,0.333333,0.407407,0.851852,0.037037,0.851852,0.37037,0.722222,0.37037,0.37037,0.444444,0.407407,0.333333,0.425926,https://www.sports-reference.com/cbb/players/trae-taylor-1.html,1,SR,6-9,207,"San Diego, CA",Mission Bay (CA),26.0,210.6,26.0,39.0,0.667,0.0,0.0,0.0,26.0,39.0,0.667,0.667,7.8,23.4,0.391,20.8,20.8,44.2,0.0,5.2,5.2,10.4,28.6,59.8,0.8,0.8,1.7,0.0,0.2,0.2,0.4,1.1,0.0,210.0,0.0,0.0,0.0,0.0,16.7,2.5,1.6,1.4285714285714286,1.180952380952381,2.4,6.2,0.391,7.0,10.5,0.667,0.0,0.3,0.3,0.111,-3.2,0.0,0.0,F,https://www.sports-reference.com/cbb/schools/montana/men/2026.html
Tyler Isaak,Montana,2026,Big Sky,G,Guard,,43,2.54186,0.540698,0.607558,0.46124,0.484496,0.761628,0.5032258064516129,0.504,0.576,0.321,6.3,0.565,0.449,212.0,17.5,17.5,14.3,13.9,6.9,1.1,11.5,1.6,0.6,107.5,118.3,12.1,-1.5,2.0,22.516129032258064,31.0,0.069767,0.488372,0.651163,0.511628,0.372093,0.581395,0.906977,0.744186,0.837209,0.837209,0.325581,0.430233,0.55814,0.22093,0.604651,0.313953,0.44186,0.697674,0.813953,0.639535,0.662791,0.918605,0.767442,0.767442,https://www.sports-reference.com/cbb/players/tyler-isaak-1.html,8,JR,6-3,185,"Alamo, CA",San Ramon Valley (CA),31.0,698.0,4.6,11.1,0.413,2.0,6.3,0.321,2.6,4.8,0.533,0.504,4.4,5.0,0.871,0.5,6.1,6.6,5.8,1.6,0.3,2.2,4.0,15.6,0.0161290322580645,0.196774193548387,0.2129032258064516,0.1870967741935484,0.0516129032258064,0.0096774193548387,0.0709677419354838,0.1290322580645161,0.0,698.0,0.0,0.565,0.0,0.0,13.9,0.6,1.6,0.2292263610315186,0.2865329512893982,4.4,5.0,0.871,2.6,4.8,0.533,2.0,1.0,1.0,0.116,-2.1,0.6,18.0,G,https://www.sports-reference.com/cbb/schools/montana/men/2026.html
Tyler Thompson,Montana,2026,Big Sky,G,Guard,,44,2.529545,0.667614,0.335228,0.556818,0.598485,0.710227,0.5533333333333333,0.591,0.61,0.404,10.4,0.817,0.137,226.0,7.6,7.6,14.5,15.0,8.2,0.6,14.2,1.5,1.6,106.3,108.4,11.1,0.6,2.0,29.03333333333333,30.0,0.068182,0.863636,0.863636,0.863636,0.818182,0.909091,0.159091,0.795455,0.318182,0.318182,0.318182,0.386364,0.738636,0.102273,0.829545,0.284091,0.738636,0.772727,0.454545,0.488636,0.931818,0.920455,0.886364,0.579545,https://www.sports-reference.com/cbb/players/tyler-thompson-3.html,4,SO,6-6,190,"Fairfield, CA",Vanden (CA),30.0,871.0,5.4,12.8,0.426,4.2,10.4,0.404,1.2,2.3,0.528,0.591,1.5,1.7,0.852,0.3,7.6,7.8,2.5,1.5,0.8,2.4,2.8,16.6,0.01,0.2533333333333333,0.26,0.0833333333333333,0.05,0.0266666666666666,0.08,0.0933333333333333,0.0,871.0,0.0,0.817,0.0,0.0,15.0,1.6,1.5,0.1285878300803674,0.0780711825487944,1.5,1.7,0.852,1.2,2.3,0.528,4.2,0.7,1.3,0.092,0.0,0.6,30.0,G,https://www.sports-reference.com/cbb/schools/montana/men/2026.html
