team,conference,adj_off,adj_def,tempo,luck,sos,season
Davidson,A10,110.691,104.761,64.2178,0.0293,2.6184,2026
Dayton,A10,111.383,100.722,68.2738,0.0337,4.0891,2026
Duquesne,A10,110.652,107.743,69.8402,-0.0106,2.3533,2026
Fordham,A10,105.037,104.686,64.5681,-0.0439,-2.3692,2026
George Mason,A10,114.1,106.065,64.9254,0.0674,0.5784,2026
George Washington,A10,118.124,108.367,70.0705,-0.1476,1.2919,2026
La Salle,A10,105.568,110.762,66.2521,-0.0295,5.6157,2026
Loyola Chicago,A10,103.277,114.707,66.2129,0.0623,3.1264,2026
Rhode Island,A10,106.035,103.173,66.2382,-0.0388,1.0363,2026
Richmond,A10,111.72,110.04,68.6494,-0.086,0.4676,2026
Saint Joseph's,A10,106.952,102.916,68.3672,0.0931,0.9818,2026
Saint Louis,A10,120.013,101.385,71.9633,0.0433,0.5593,2026
St. Bonaventure,A10,113.69,112.768,67.6612,-0.0415,1.508,2026
VCU,A10,120.239,103.361,69.8089,-0.0188,3.4575,2026
Boston College,ACC,104.063,102.939,66.331,-0.0353,6.9657,2026
California,ACC,113.552,101.826,69.2752,0.0581,7.1517,2026
Clemson,ACC,116.25,97.3099,65.6036,-0.0014,9.6187,2026
Duke,ACC,128.431,87.8156,67.3331,0.0303,14.1235,2026
Florida St.,ACC,116.947,104.449,72.046,-0.0014,10.7335,2026
Georgia Tech,ACC,108.083,107.432,71.6297,-0.0394,6.6391,2026
Louisville,ACC,125.702,99.5812,71.3621,-0.0165,12.3508,2026
Miami FL,ACC,121.765,100.609,69.5895,0.0006,6.7015,2026
N.C. State,ACC,123.217,103.617,69.7442,-0.025,11.9105,2026
North Carolina,ACC,121.57,100.498,68.7782,0.0771,11.4696,2026
Notre Dame,ACC,115.755,106.909,66.713,-0.0585,10.9977,2026
Pittsburgh,ACC,113.063,105.5,64.7103,-0.0785,10.8282,2026
SMU,ACC,123.719,106.233,71.1325,-0.033,11.0274,2026
Stanford,ACC,117.743,104.032,68.2496,0.0477,9.1717,2026
Syracuse,ACC,115.161,104.873,67.842,-0.0443,10.2109,2026
Virginia,ACC,121.702,96.4518,66.6744,0.0714,8.5979,2026
Virginia Tech,ACC,117.34,103.27,67.9699,0.0015,10.2033,2026
Wake Forest,ACC,116.828,105.454,69.9208,-0.0261,11.2224,2026
Albany,AE,103.494,118.415,65.6388,-0.0859,-7.02,2026
Binghamton,AE,97.7778,123.314,65.1072,-0.0192,-12.0066,2026
Bryant,AE,96.7391,119.738,64.4513,0.0094,-7.6482,2026
Maine,AE,91.7262,112.035,64.8524,-0.0308,-8.8623,2026
NJIT,AE,97.2397,114.131,68.0544,0.1262,-9.2811,2026
New Hampshire,AE,95.4293,116.151,67.2165,-0.0024,-7.7815,2026
UMBC,AE,107.631,110.494,66.4498,0.0477,-14.4372,2026
UMass Lowell,AE,102.751,116.875,68.9151,0.0182,-9.3969,2026
Vermont,AE,107.316,113.213,64.4879,0.0001,-10.7696,2026
Austin Peay,ASun,108.137,108.438,70.1198,0.0332,-6.2668,2026
Bellarmine,ASun,116.757,126.361,66.14,-0.0131,-4.403,2026
Central Arkansas,ASun,110.399,109.12,68.9259,0.0409,-5.0582,2026
Eastern Kentucky,ASun,109.397,121.027,68.6832,-0.0169,-3.7067,2026
Florida Gulf Coast,ASun,105.745,112.344,69.0723,-0.0291,-5.5555,2026
Jacksonville,ASun,103.259,114.712,65.1785,-0.0295,-3.7333,2026
Lipscomb,ASun,107.127,109.912,70.4841,0.0436,-4.8651,2026
North Alabama,ASun,99.7585,118.951,65.5759,0.0565,-4.3586,2026
North Florida,ASun,107.091,124.64,71.9545,-0.0293,-3.1655,2026
Queens,ASun,115.981,117.471,70.7192,0.0666,-5.3835,2026
Stetson,ASun,105.482,118.011,67.8854,0.0083,-3.5244,2026
West Georgia,ASun,101.774,114.305,70.1741,0.0725,-6.3388,2026
Charlotte,Amer,112.701,114.942,64.2701,0.01,0.4137,2026
East Carolina,Amer,103.76,111.153,69.151,-0.0056,-0.1913,2026
Florida Atlantic,Amer,110.482,107.018,70.3829,-0.0342,2.2864,2026
Memphis,Amer,107.638,104.356,71.4343,-0.0495,6.0058,2026
North Texas,Amer,103.871,101.825,65.8506,0.0112,0.7252,2026
Rice,Amer,108.706,113.919,66.7303,0.0093,0.0093,2026
South Florida,Amer,117.695,102.394,73.2047,-0.0261,3.2581,2026
Temple,Amer,112.626,111.905,65.438,-0.0622,-1.3412,2026
Tulane,Amer,107.975,111.603,68.0633,0.1253,0.6402,2026
Tulsa,Amer,122.266,108.304,68.8047,0.0159,0.3765,2026
UAB,Amer,109.871,105.871,70.4317,0.0195,-0.4043,2026
UTSA,Amer,99.7625,118.416,69.6179,-0.0013,1.7644,2026
Wichita St.,Amer,113.078,103.647,67.3186,-0.0445,0.6469,2026
Illinois,B10,131.683,99.0127,66.2027,-0.035,13.508,2026
Indiana,B10,121.121,102.999,66.7872,-0.0349,11.9802,2026
Iowa,B10,121.857,99.3199,63.4871,-0.0552,11.3571,2026
Maryland,B10,111.2,107.837,66.8264,0.014,14.9565,2026
Michigan,B10,128.55,89.1978,71.8642,0.0389,15.9909,2026
Michigan St.,B10,122.751,93.8158,66.8031,0.0194,13.7001,2026
Minnesota,B10,115.067,103.576,62.9756,-0.0505,11.0756,2026
Nebraska,B10,119.313,92.3554,67.4961,0.0279,11.0536,2026
Northwestern,B10,117.202,104.749,65.7313,-0.0953,13.2177,2026
Ohio St.,B10,124.301,102.622,66.8434,-0.0292,12.7664,2026
Oregon,B10,112.215,104.509,66.6163,-0.0301,13.2216,2026
Penn St.,B10,114.412,112.084,67.5899,-0.0049,10.887,2026
Purdue,B10,130.483,101.056,65.8764,-0.0207,14.9736,2026
Rutgers,B10,110.958,107.633,66.5436,0.0368,11.0063,2026
UCLA,B10,123.839,102.535,65.7353,0.0149,11.6127,2026
USC,B10,114.118,103.278,70.9942,0.0839,12.431,2026
Washington,B10,117.197,102.213,67.8636,-0.1046,11.8757,2026
Wisconsin,B10,125.338,102.736,69.1273,0.0384,12.6319,2026
Arizona,B12,126.652,89.312,71.826,0.0107,14.0889,2026
Arizona St.,B12,116.625,103.46,70.6536,0.0308,14.0824,2026
BYU,B12,125.964,103.548,70.4961,-0.0108,14.357,2026
Baylor,B12,123.242,106.994,69.5717,-0.0735,14.2417,2026
Cincinnati,B12,112.365,94.582,69.3109,-0.069,11.5473,2026
Colorado,B12,119.218,106.591,69.993,0.0343,11.1973,2026
Houston,B12,125.05,92.5563,64.9071,0.002,12.3461,2026
Iowa St.,B12,122.901,92.9424,68.3347,0.0056,11.4809,2026
Kansas,B12,119.459,94.073,68.3011,0.038,16.6563,2026
Kansas St.,B12,113.06,105.873,73.6887,-0.0688,13.049,2026
Oklahoma St.,B12,118.89,106.755,74.262,0.057,12.1533,2026
TCU,B12,114.662,97.224,69.5311,0.0104,10.7091,2026
Texas Tech,B12,126.176,100.057,68.0651,-0.0025,15.3247,2026
UCF,B12,122.002,106.824,70.7887,0.0843,11.2712,2026
Utah,B12,114.648,111.197,68.0965,-0.0068,12.1608,2026
West Virginia,B12,111.224,97.1642,64.002,-0.0333,9.0721,2026
Butler,BE,116.359,106.579,69.9531,-0.023,10.0357,2026
Connecticut,BE,122.641,94.3943,66.4073,0.0519,11.9416,2026
Creighton,BE,116.91,105.552,68.5477,-0.0216,11.7989,2026
DePaul,BE,107.773,100.798,67.8871,-0.0045,8.0043,2026
Georgetown,BE,114.905,105.249,67.5209,-0.0657,9.996,2026
Marquette,BE,111.799,102.134,69.8522,-0.1004,11.2569,2026
Providence,BE,121.321,109.938,72.2428,-0.098,10.728,2026
Seton Hall,BE,110.406,95.1103,66.3948,-0.0339,8.4893,2026
St. John's,BE,119.726,95.3022,71.2416,0.0602,11.2651,2026
Villanova,BE,120.993,100.002,66.5541,0.0698,10.4765,2026
Xavier,BE,116.57,108.871,71.2495,-0.0033,11.1566,2026
Eastern Washington,BSky,113.84,113.414,68.8296,-0.0722,1.2397,2026
Idaho,BSky,109.232,108.633,69.0654,-0.0225,-1.3037,2026
Idaho St.,BSky,109.698,116.717,67.0283,-0.0353,-0.2887,2026
Montana,BSky,106.658,108.557,70.7917,0.0292,0.0458,2026
Montana St.,BSky,111.098,108.099,67.3584,-0.0827,0.3405,2026
Northern Arizona,BSky,105.361,119.8,65.5099,0.0306,-0.7176,2026
Northern Colorado,BSky,112.075,109.666,69.861,-0.0141,-1.749,2026
Portland St.,BSky,104.006,102.149,68.8436,0.025,-1.6398,2026
Sacramento St.,BSky,106.025,114.338,72.2908,-0.0222,1.7383,2026
Weber St.,BSky,111.838,114.276,69.8527,-0.02,-1.6775,2026
Charleston Southern,BSth,106.014,112.449,73.3305,-0.0898,-6.0563,2026
Gardner Webb,BSth,95.7975,122.139,70.7775,-0.0014,-0.8618,2026
High Point,BSth,117.312,108.869,70.9313,0.0479,-8.8707,2026
Longwood,BSth,103.68,112.801,69.4124,-0.0355,-8.0869,2026
Presbyterian,BSth,103.463,112.463,66.0647,-0.0203,-4.5358,2026
Radford,BSth,106.476,114.143,72.4257,-0.0356,-6.8371,2026
UNC Asheville,BSth,105.001,111.665,67.0966,-0.0164,-3.3382,2026
USC Upstate,BSth,99.1766,111.566,69.235,0.0252,-5.2353,2026
Winthrop,BSth,111.848,110.661,71.6942,0.0251,-4.4165,2026
CSUN,BW,108.191,108.83,75.578,0.0778,-0.136,2026
Cal Poly,BW,109.898,113.764,76.1946,0.0091,1.403,2026
Cal St. Bakersfield,BW,101.943,117.34,72.6288,0.0123,0.605,2026
Cal St. Fullerton,BW,110.597,110.294,75.2696,0.0456,1.5443,2026
Hawaii,BW,107.214,102.175,72.2988,0.0284,-3.5602,2026
Long Beach St.,BW,105.631,111.508,70.8915,-0.0297,1.2006,2026
UC Davis,BW,109.269,108.207,70.808,0.0376,-0.0979,2026
UC Irvine,BW,104.179,98.1435,70.6682,-0.0073,-0.7037,2026
UC Riverside,BW,104.003,111.809,71.0537,-0.0476,1.7807,2026
UC San Diego,BW,108.893,103.605,69.5446,0.0039,-0.7638,2026
UC Santa Barbara,BW,114.334,110.88,66.8494,-0.0576,-0.9228,2026
Campbell,CAA,111.941,112.826,70.1089,0.0165,1.1921,2026
Charleston,CAA,108.264,108.409,68.2796,0.1048,-1.7041,2026
Drexel,CAA,102.582,107.25,65.207,0.0028,-4.0607,2026
Elon,CAA,110.338,116.005,67.9892,-0.0301,-2.0329,2026
Hampton,CAA,102.683,111.835,65.9952,-0.0132,-3.4176,2026
Hofstra,CAA,114.765,105.041,65.6347,-0.0711,-0.6105,2026
Monmouth,CAA,106.303,107.692,67.22,0.0191,-2.5799,2026
North Carolina A&T,CAA,105.454,116.362,69.1315,-0.0232,-3.354,2026
Northeastern,CAA,107.711,118.241,69.6542,-0.061,-1.3959,2026
Stony Brook,CAA,105.427,110.904,66.4038,0.064,-2.5673,2026
Towson,CAA,105.843,104.841,64.1552,0.0258,-0.9047,2026
UNC Wilmington,CAA,112.083,106.219,66.2138,0.0278,-4.6883,2026
William & Mary,CAA,111.218,109.65,73.5696,0.0245,-1.6784,2026
Delaware,CUSA,104.582,115.945,63.9676,0.0065,-2.5434,2026
FIU,CUSA,107.68,109.628,71.689,-0.0393,-0.935,2026
Jacksonville St.,CUSA,105.701,108.846,65.8213,-0.0498,-2.6875,2026
Kennesaw St.,CUSA,109.884,110.87,72.027,-0.0087,-2.2833,2026
Liberty,CUSA,118.269,113.621,64.6774,0.1573,-1.4671,2026
Louisiana Tech,CUSA,102.07,105.391,64.9234,0.0404,-2.9601,2026
Middle Tennessee,CUSA,109.287,109.293,66.6054,0.0178,1.1661,2026
Missouri St.,CUSA,108.179,112.139,66.8079,-0.0573,-1.5077,2026
New Mexico St.,CUSA,110.096,111.787,67.2192,-0.0683,-1.259,2026
Sam Houston St.,CUSA,114.933,109.044,70.4567,-0.0026,0.0566,2026
UTEP,CUSA,101.081,110.655,65.9818,0.0105,-0.0488,2026
Western Kentucky,CUSA,108.471,108.09,70.7164,0.0173,-0.6313,2026
Cleveland St.,Horz,109.499,124.199,71.3754,0.0401,-1.7259,2026
Detroit Mercy,Horz,108.85,113.674,70.0487,0.0732,-2.3807,2026
Green Bay,Horz,112.739,116.199,64.7061,0.0643,-1.7618,2026
IU Indy,Horz,105.657,119.514,74.9572,-0.0334,-3.1114,2026
Milwaukee,Horz,106.547,115.409,69.0742,0.0128,-1.3515,2026
Northern Kentucky,Horz,109.493,109.556,70.6301,-0.0175,-4.2971,2026
Oakland,Horz,115.398,115.201,71.1149,0.016,0.1884,2026
Purdue Fort Wayne,Horz,105.541,113.381,69.0319,0.1182,-1.4873,2026
Robert Morris,Horz,111.323,109.156,66.2272,0.0413,-4.3531,2026
Wright St.,Horz,112.358,110.735,68.7321,-0.0049,-3.8352,2026
Youngstown St.,Horz,105.701,109.64,68.6308,-0.0921,-3.4818,2026
Brown,Ivy,98.1123,108.953,66.6899,-0.0502,-3.6148,2026
Columbia,Ivy,108.781,110.724,67.129,0.0122,-3.128,2026
Cornell,Ivy,119.746,118.78,71.6898,-0.026,-1.4843,2026
Dartmouth,Ivy,104.971,114.296,69.1586,0.0001,-1.9286,2026
Harvard,Ivy,107.643,106.362,64.0059,0.0023,-3.32,2026
Penn,Ivy,107.774,107.09,69.2562,0.0436,-0.8291,2026
Princeton,Ivy,105.498,112.607,64.5005,-0.0767,-0.6275,2026
Yale,Ivy,120.415,109.646,65.8354,0.0643,-1.12,2026
Canisius,MAAC,95.4396,114.738,64.3232,0.0187,-7.6469,2026
Fairfield,MAAC,105.915,114.106,67.0848,0.0778,-9.4109,2026
Iona,MAAC,104.062,111.81,68.5063,0.0411,-8.3886,2026
Manhattan,MAAC,104.574,121.091,68.1202,0.0533,-7.9439,2026
Marist,MAAC,99.676,102.766,66.4928,-0.0272,-8.6372,2026
Merrimack,MAAC,107.572,107.785,63.7649,0.1256,-5.5777,2026
Mount St. Mary's,MAAC,99.5339,109.183,67.6712,0.028,-6.9696,2026
Niagara,MAAC,99.7095,118.258,63.0917,-0.0379,-7.9835,2026
Quinnipiac,MAAC,104.382,108.642,69.7726,0.0271,-7.1458,2026
Rider,MAAC,95.8039,120.292,65.6969,-0.0235,-4.7464,2026
Sacred Heart,MAAC,107.393,118.921,68.3541,0.0009,-7.1971,2026
Saint Peter's,MAAC,103.104,110.691,65.5309,0.0659,-7.7688,2026
Siena,MAAC,107.55,110.254,64.3283,0.002,-9.4489,2026
Akron,MAC,120.688,107.264,71.4841,-0.0063,-3.9744,2026
Ball St.,MAC,98.6424,109.997,65.3444,-0.005,-3.7728,2026
Bowling Green,MAC,107.307,105.804,70.2405,-0.0793,-3.2833,2026
Buffalo,MAC,112.998,116.269,67.4959,-0.0153,-3.9419,2026
Central Michigan,MAC,106.058,115.152,68.3224,-0.0983,-1.3497,2026
Eastern Michigan,MAC,101.951,108.373,68.3704,-0.0963,-0.274,2026
Kent St.,MAC,112.113,111.036,72.271,0.1506,-2.787,2026
Massachusetts,MAC,108.792,111.741,71.266,-0.0569,-4.0673,2026
Miami OH,MAC,116.781,107.858,71.3454,0.1159,-5.2322,2026
Northern Illinois,MAC,97.1415,114.481,68.9652,0.014,-0.8651,2026
Ohio,MAC,108.114,113.405,70.323,0.0317,-1.216,2026
Toledo,MAC,114.906,112.3,69.5004,-0.0649,-1.0636,2026
Western Michigan,MAC,107.901,117.133,69.0477,-0.0358,-0.9715,2026
Coppin St.,MEAC,92.2908,119.915,69.0598,0.0368,-7.2935,2026
Delaware St.,MEAC,87.8146,115.299,66.3932,-0.0239,-10.3606,2026
Howard,MEAC,103.802,106.875,69.2538,-0.0229,-13.5592,2026
Maryland Eastern Shore,MEAC,94.6359,115.02,64.5419,-0.0456,-8.3844,2026
Morgan St.,MEAC,100.147,121.41,70.8774,0.1183,-11.8627,2026
Norfolk St.,MEAC,101.66,116.283,68.8898,-0.0086,-11.0563,2026
North Carolina Central,MEAC,99.5176,121.463,67.451,0.0578,-8.9234,2026
South Carolina St.,MEAC,95.2089,119.327,69.9567,0.0223,-8.4136,2026
Belmont,MVC,120.925,108.63,69.969,0.0346,0.2253,2026
Bradley,MVC,111.929,107.939,67.8052,0.0394,1.023,2026
Drake,MVC,110.182,112.784,67.849,-0.0604,2.4022,2026
Evansville,MVC,102.122,114.957,67.4034,-0.0114,4.8567,2026
Illinois Chicago,MVC,110.649,104.51,66.9965,-0.061,1.8786,2026
Illinois St.,MVC,110.714,104.11,67.612,-0.0086,1.6087,2026
Indiana St.,MVC,106.442,109.37,68.332,-0.1097,1.5086,2026
Murray St.,MVC,116.433,112.273,72.2742,0.0425,1.5288,2026
Northern Iowa,MVC,110.234,98.444,63.4121,-0.07,1.5356,2026
Southern Illinois,MVC,104.038,99.4226,69.7171,-0.0941,2.1924,2026
Valparaiso,MVC,108.356,107.391,66.1176,0.0406,1.131,2026
Air Force,MWC,96.5161,115.974,67.2726,-0.0021,5.2348,2026
Boise St.,MWC,117.804,103.437,66.4487,0.0391,9.1968,2026
Colorado St.,MWC,119.97,110.281,64.2346,0.041,4.8033,2026
Fresno St.,MWC,107.874,104.701,69.5654,-0.0689,5.018,2026
Grand Canyon,MWC,110.701,97.1555,68.9645,-0.0556,3.8098,2026
Nevada,MWC,116.007,104.984,66.3564,0.0132,6.3143,2026
New Mexico,MWC,117.204,101.291,70.6625,-0.0212,6.0496,2026
San Diego St.,MWC,114.767,98.067,69.445,0.0037,8.1331,2026
San Jose St.,MWC,111.516,117.605,65.5228,-0.0193,7.0449,2026
UNLV,MWC,115.959,109.616,70.822,-0.01,6.3448,2026
Utah St.,MWC,122.939,103.306,68.2194,0.0626,7.0453,2026
Wyoming,MWC,115.416,107.778,67.3812,-0.0094,4.1488,2026
Central Connecticut,NEC,104.859,117.651,65.189,0.1165,-10.8704,2026
Chicago St.,NEC,99.6245,119.249,65.7649,-0.032,-4.329,2026
Fairleigh Dickinson,NEC,101.014,118.684,64.1558,-0.0061,-8.2849,2026
LIU,NEC,105.52,109.596,68.1964,0.1016,-9.4801,2026
Le Moyne,NEC,102.201,114.084,69.1968,-0.0183,-10.3942,2026
Mercyhurst,NEC,101.202,111.765,64.5225,-0.0062,-11.0115,2026
New Haven,NEC,96.3167,112.443,63.529,0.0413,-9.1579,2026
Saint Francis,NEC,99.6965,122.026,69.9877,-0.025,-6.5591,2026
Stonehill,NEC,91.966,109.306,66.57,-0.0071,-10.0414,2026
Wagner,NEC,102.707,115.527,65.2725,-0.0011,-8.8168,2026
Eastern Illinois,OVC,97.0745,111.939,66.2145,0.0368,-5.7739,2026
Lindenwood,OVC,100.712,109.182,73.0225,0.0171,-8.5306,2026
Little Rock,OVC,102.981,115.901,67.5963,-0.0327,-6.1036,2026
Morehead St.,OVC,107.125,117.415,66.8491,0.1605,-6.6496,2026
SIUE,OVC,99.7274,107.269,65.6044,-0.0071,-10.4193,2026
Southeast Missouri,OVC,102.389,108.198,69.9208,0.0314,-7.6984,2026
Southern Indiana,OVC,95.7549,114.344,68.5142,-0.1049,-7.9049,2026
Tennessee Martin,OVC,100.624,105.464,65.9541,0.0476,-8.4851,2026
Tennessee St.,OVC,109.317,111.077,70.5659,0.0698,-7.8796,2026
Tennessee Tech,OVC,102.74,116.056,68.2839,-0.0276,-7.2863,2026
Western Illinois,OVC,93.0728,121.538,67.319,-0.0524,-7.3704,2026
American,PL,105.713,112.117,66.6771,-0.0244,-7.651,2026
Army,PL,100.282,118.74,67.2649,0.0441,-7.5426,2026
Boston University,PL,112.521,119.805,63.5173,-0.0234,-8.3935,2026
Bucknell,PL,98.3745,115.066,66.9718,0.0153,-5.721,2026
Colgate,PL,107.868,114.949,66.8786,0.0436,-6.7524,2026
Holy Cross,PL,100.926,117.449,65.796,-0.007,-6.8362,2026
Lafayette,PL,100.895,116.152,66.9172,0.0091,-7.352,2026
Lehigh,PL,102.691,113.923,66.7441,0.0883,-8.1454,2026
Loyola MD,PL,104.38,119.238,68.1396,-0.0275,-8.9867,2026
Navy,PL,107.556,105.715,65.1904,0.0527,-11.8171,2026
Appalachian St.,SB,106.066,108.425,64.0742,0.0151,-5.2314,2026
Arkansas St.,SB,110.823,109.438,72.559,0.0079,-3.5135,2026
Coastal Carolina,SB,102.007,108.803,68.3414,0.1323,-4.5953,2026
Georgia Southern,SB,110.861,116.39,71.3288,0.0554,-5.7306,2026
Georgia St.,SB,99.48,112.416,68.7856,-0.0396,-3.6847,2026
James Madison,SB,109.333,113.219,67.0184,0.0173,-4.5502,2026
Louisiana,SB,100.292,113.594,64.0841,0.0328,-4.2322,2026
Louisiana Monroe,SB,101.373,122.419,70.7063,-0.0988,-3.414,2026
Marshall,SB,112.305,115.455,70.6827,0.0338,-3.8746,2026
Old Dominion,SB,106.299,113.16,70.2952,-0.0734,-2.6183,2026
South Alabama,SB,107.128,110.305,65.729,0.0578,-5.7731,2026
Southern Miss,SB,105.336,109.65,69.6181,0.0426,-3.5062,2026
Texas St.,SB,104.191,110.88,67.3153,0.0838,-6.5796,2026
Troy,SB,110.743,109.656,67.1574,0.0253,-2.8337,2026
Chattanooga,SC,105.604,117.791,67.5828,-0.0291,-6.6737,2026
East Tennessee St.,SC,110.351,108.876,66.6746,-0.023,-7.9099,2026
Furman,SC,107.121,110.002,66.6454,0.0112,-6.0997,2026
Mercer,SC,112.013,113.922,69.4565,-0.0206,-5.0094,2026
Samford,SC,109.859,113.744,68.4488,0.0092,-5.6007,2026
The Citadel,SC,100.954,121.106,64.7839,0.028,-5.2182,2026
UNC Greensboro,SC,107.889,120.074,68.6158,0.0557,-5.7945,2026
VMI,SC,98.8062,125.02,67.5698,-0.0111,-5.3464,2026
Western Carolina,SC,109.432,114.894,68.7552,-0.0148,-3.5836,2026
Wofford,SC,109.388,116.658,68.4052,0.0732,-7.247,2026
Alabama,SEC,129.612,103.487,74.651,0.0379,17.0173,2026
Arkansas,SEC,127.884,101.918,72.6779,0.0289,14.7352,2026
Auburn,SEC,125.795,107.046,69.31,-0.0508,16.8439,2026
Florida,SEC,126.472,91.1258,72.7177,-0.051,15.6113,2026
Georgia,SEC,125.802,104.745,73.4553,0.0105,11.0149,2026
Kentucky,SEC,121.278,99.8323,69.704,-0.0287,15.7092,2026
LSU,SEC,119.551,106.341,68.6469,-0.082,10.8206,2026
Mississippi,SEC,114.26,104.003,67.8569,-0.1001,12.9994,2026
Mississippi St.,SEC,113.585,106.236,71.4671,0.0008,13.1379,2026
Missouri,SEC,119.781,104.266,68.3415,0.0554,11.3361,2026
Oklahoma,SEC,123.534,106.727,68.6124,-0.0677,13.2749,2026
South Carolina,SEC,112.373,104.496,68.1063,-0.0568,10.9653,2026
Tennessee,SEC,121.445,95.3134,67.5777,-0.0575,14.4103,2026
Texas,SEC,126.204,106.268,68.5281,-0.0759,14.0173,2026
Texas A&M,SEC,120.562,100.781,72.8627,-0.0047,10.9148,2026
Vanderbilt,SEC,125.534,99.0599,71.3026,0.0199,13.2914,2026
Alabama A&M,SWAC,104.871,117.073,67.4313,0.0533,-10.5108,2026
Alabama St.,SWAC,99.9862,113.491,71.2867,-0.0678,-5.954,2026
Alcorn St.,SWAC,96.6985,117.908,69.4885,0.0399,-4.419,2026
Arkansas Pine Bluff,SWAC,103.24,116.66,71.419,0.0384,-5.1594,2026
Bethune Cookman,SWAC,103.765,109.988,71.0981,0.0842,-6.7432,2026
Florida A&M,SWAC,98.5926,112.002,70.2744,0.0807,-8.1241,2026
Grambling St.,SWAC,97.2269,109.156,69.4802,-0.0305,-7.9031,2026
Jackson St.,SWAC,100.846,120.041,71.1724,0.0968,-5.6373,2026
Mississippi Valley St.,SWAC,90.7288,121.602,69.8076,-0.0292,-6.7519,2026
Prairie View A&M,SWAC,101.037,114.134,73.9368,-0.0127,-8.8146,2026
Southern,SWAC,104.418,113.914,71.8307,0.0427,-5.3858,2026
Texas Southern,SWAC,102.269,115.154,70.7405,-0.0247,-8.3635,2026
East Texas A&M,Slnd,100.871,111.697,68.5075,0.0006,-0.5149,2026
Houston Christian,Slnd,103.059,114.166,64.4454,0.0344,-2.0694,2026
Incarnate Word,Slnd,109.009,117.466,65.3893,-0.0281,-1.1642,2026
Lamar,Slnd,103.27,109.558,65.8032,-0.0892,-2.419,2026
McNeese,Slnd,114.978,102.83,66.7254,0.0794,-1.7335,2026
New Orleans,Slnd,109.897,111.363,70.0022,0.0416,0.8705,2026
Nicholls,Slnd,105.991,111.706,68.3766,0.0437,-0.0169,2026
Northwestern St.,Slnd,102.537,112.691,65.1522,-0.0126,-0.5765,2026
Southeastern Louisiana,Slnd,99.83,110.445,65.6395,-0.0058,-0.614,2026
Stephen F. Austin,Slnd,113.732,104.422,66.2948,-0.0051,-4.1513,2026
Texas A&M Corpus Chris,Slnd,104.497,105.838,67.0569,0.0181,0.0331,2026
UT Rio Grande Valley,Slnd,111.058,107.253,66.6659,-0.0434,-1.294,2026
Denver,Sum,116.207,122.134,69.403,0.0074,-1.3016,2026
Kansas City,Sum,92.2915,117.38,71.4274,-0.0174,-1.277,2026
Nebraska Omaha,Sum,106.4,114.346,68.6278,0.0334,-2.4245,2026
North Dakota,Sum,107.012,116.569,69.2362,0.1114,-3.3764,2026
North Dakota St.,Sum,111.966,106.842,68.0273,0.0395,-5.5252,2026
Oral Roberts,Sum,102.261,115.224,69.227,-0.0548,-1.4886,2026
South Dakota,Sum,104.494,114.772,71.4197,0.0558,-5.4103,2026
South Dakota St.,Sum,108.217,112.504,67.9108,-0.1169,-2.7665,2026
St. Thomas,Sum,114.251,108.327,69.6879,-0.0338,-5.3043,2026
Abilene Christian,WAC,100.792,107.536,68.6115,0.0262,0.9118,2026
Cal Baptist,WAC,108.151,102.744,67.3849,0.084,-1.9529,2026
Southern Utah,WAC,107.259,114.369,70.8131,-0.0455,2.5106,2026
Tarleton St.,WAC,104.348,108.344,69.9817,-0.0315,1.3154,2026
UT Arlington,WAC,102.996,101.989,66.4935,0.037,0.9121,2026
Utah Tech,WAC,110.96,112.499,67.9206,0.0957,1.1509,2026
Utah Valley,WAC,113.562,104.265,69.7486,0.0417,-0.2865,2026
Gonzaga,WCC,122.485,94.0722,70.9699,0.067,5.9928,2026
Loyola Marymount,WCC,106.722,105.951,68.1241,-0.0446,0.9805,2026
Oregon St.,WCC,109.575,110.59,66.2828,0.1069,2.8026,2026
Pacific,WCC,110.949,105.488,65.819,-0.02,3.2879,2026
Pepperdine,WCC,105.52,113.543,69.4309,-0.0183,3.3902,2026
Portland,WCC,106.313,109.081,69.6964,0.064,4.0806,2026
Saint Mary's,WCC,120.575,96.9292,66.5121,0.0237,4.8771,2026
San Diego,WCC,108.372,113.387,68.7953,0.0035,2.5204,2026
San Francisco,WCC,113.852,109.562,66.73,-0.0058,4.4988,2026
Santa Clara,WCC,123.202,103.855,70.1185,0.0124,5.1221,2026
Seattle,WCC,102.436,97.8482,68.6243,0.0169,2.0134,2026
Washington St.,WCC,114.136,111.731,68.9335,-0.094,5.4497,2026
