season,game_number,date,time,type,site_flag,opponent,opponent_conference,srs,result_wl,team_points,opponent_points,overtime_text,w,l,streak,arena,location_type,overtime_flag,source_file,processed_at_utc,processed_at_local
2024,1,2023-11-07,9:00p,REG,,Northwest Indian,,,W,107,59,,1,0,W 1,Dahlberg Arena,home,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,2,2023-11-10,9:00p,REG,@,Oregon,Pac-12,12.22,L,61,75,,1,1,L 1,Matthew Knight Arena,away,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,3,2023-11-12,9:00p,REG,,UC Davis,Big West,-1.33,W,78,65,,2,1,W 1,Dahlberg Arena,home,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,4,2023-11-16,10:00p,REG,,North Dakota State,Summit,-7.57,L,69,78,,2,2,L 1,Dahlberg Arena,home,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,5,2023-11-24,4:00p,REG,@,Houston (6),Big 12,25.69,L,44,79,,2,3,L 2,Fertitta Center,away,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,6,2023-11-29,10:00p,REG,@,Nevada,MWC,12.85,L,66,77,,2,4,L 3,Lawlor Events Center,away,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,7,2023-12-02,3:00p,REG,,San Jose State,MWC,-3.82,W,75,58,,3,4,W 1,Dahlberg Arena,home,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,8,2023-12-05,9:00p,REG,,Montana State–Northern,,,W,91,67,,4,4,W 2,Dahlberg Arena,home,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,9,2023-12-09,3:00p,REG,,Montana Tech,,,W,88,67,,5,4,W 3,Dahlberg Arena,home,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,10,2023-12-17,5:00p,REG,@,San Jose State,MWC,-3.82,W,86,75,,6,4,W 4,Provident Credit Union Event Center,away,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,11,2023-12-19,9:00p,REG,@,UC Davis,Big West,-1.33,W,73,61,,7,4,W 5,University Credit Union Center,away,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,12,2023-12-28,9:00p,REG,@,Weber State,Big Sky,-0.49,L,63,93,,7,5,L 1,Dee Events Center,away,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,13,2023-12-30,6:00p,REG,@,Idaho State,Big Sky,-7.49,W,76,68,,8,5,W 1,Reed Gym,away,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,14,2024-01-03,8:00p,REG,@,North Dakota State,Summit,-7.57,W,96,86,,9,5,W 2,Scheels Center,away,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,15,2024-01-06,9:00p,REG,,South Dakota,Summit,-12.55,W,82,63,,10,5,W 3,Dahlberg Arena,home,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,16,2024-01-11,9:00p,REG,,Northern Colorado,Big Sky,-4.44,L,92,98,OT,10,6,L 1,Dahlberg Arena,home,True,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,17,2024-01-13,9:00p,REG,,Northern Arizona,Big Sky,-12.17,W,90,47,,11,6,W 1,Dahlberg Arena,home,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,18,2024-01-20,9:00p,REG,@,Montana State,Big Sky,-5.34,W,87,77,,12,6,W 2,Worthington Arena,away,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,19,2024-01-22,9:00p,REG,,Weber State,Big Sky,-0.49,W,77,62,,13,6,W 3,Dahlberg Arena,home,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,20,2024-01-25,10:00p,REG,@,Portland State,Big Sky,-7.15,L,46,72,,13,7,L 1,Peter W. Stott Center,away,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,21,2024-01-27,9:00p,REG,@,Sacramento State,Big Sky,-10.87,W,70,67,,14,7,W 1,The Nest,away,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,22,2024-02-01,9:00p,REG,,Idaho,Big Sky,-11.29,W,73,70,,15,7,W 2,Dahlberg Arena,home,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,23,2024-02-03,9:00p,REG,,Eastern Washington,Big Sky,-1.03,L,65,78,,15,8,L 1,Dahlberg Arena,home,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,24,2024-02-08,8:00p,REG,@,Northern Arizona,Big Sky,-12.17,W,94,66,,16,8,W 1,Walkup Skydome,away,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,25,2024-02-10,4:00p,REG,@,Northern Colorado,Big Sky,-4.44,L,71,87,,16,9,L 1,Bank of Colorado Arena,away,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,26,2024-02-17,9:00p,REG,,Montana State,Big Sky,-5.34,W,88,69,,17,9,W 1,Dahlberg Arena,home,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,27,2024-02-22,9:00p,REG,,Sacramento State,Big Sky,-10.87,W,68,61,,18,9,W 2,Dahlberg Arena,home,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,28,2024-02-24,9:00p,REG,,Portland State,Big Sky,-7.15,W,82,73,,19,9,W 3,Dahlberg Arena,home,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,29,2024-02-29,9:00p,REG,@,Eastern Washington,Big Sky,-1.03,L,79,89,,19,10,L 1,Reese Court,away,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,30,2024-03-02,5:00p,REG,@,Idaho,Big Sky,-11.29,W,80,57,,20,10,W 1,ICCU Arena,away,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,31,2024-03-04,9:00p,REG,,Idaho State,Big Sky,-7.49,W,79,65,,21,10,W 2,Dahlberg Arena,home,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,32,2024-03-11,10:00p,CTOURN,N,Portland State,Big Sky,-7.15,W,87,81,,22,10,W 3,Idaho Central Arena,neutral,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,33,2024-03-12,11:00p,CTOURN,N,Idaho State,Big Sky,-7.49,W,72,58,,23,10,W 4,Idaho Central Arena,neutral,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,34,2024-03-13,11:30p,CTOURN,N,Montana State,Big Sky,-5.34,L,70,85,,23,11,L 1,Idaho Central Arena,neutral,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,35,2024-03-24,1:00p,CBI,N,Presbyterian,Big South,-8.13,W,82,79,OT,24,11,W 1,Ocean Center,neutral,True,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2024,36,2024-03-25,2:00p,CBI,N,Arkansas State,Sun Belt,0.28,L,61,74,,24,12,L 1,Ocean Center,neutral,False,data/raw/um_schedule_2024_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
